Ah bon ? Ce jeune va pouvoir suivre sa formation et n'est pas menacé de mort. Contrairement à Mila. Il a juste été victime de fonctionnaires incompétents qui ne connaissent pas les règles de leur pays. Elle est insultée, menacée et déscolarisée avec l'onction de la "ministre de la justice", qui ne connait pas les lois de son pays.	0 0 0 0 0 0 0 0 0 0
Une ordure fait toujours des parallèles d’Ordure.	0 1 0 0 0 0 0 0 0 0
Savoir mentir est un prérequis pour celui ou celle qui veut se lancer dans la politique.	1 0 0 0 0 0 0 1 0 0
Pour tous : Peine de prison à purger dans le pays d’origine, point !	1 0 0 0 0 1 0 0 1 0
moi aussi j'en ai marre du confinement mais je ne suis pas immigré j'ai le droit de faire quoi ? Ah oui un super député LR va faire en sorte qu'on me vole 5 jours de RTT pour financer leur incompétence. Et pendant ce temps là des types viennent en europe car soi-disant on manque de main d'oeuvre. ça date pas d'aujourd'hui ça a commencé dans les années 70.	0 0 0 0 0 0 0 0 0 0
ils auraient du plaider pour une bouffée délirante, ils auraient sans doute été relaxés...	0 0 0 0 0 0 0 0 1 0
2,6 millions de fausses cartes Vitale que visiblement personne n’est capable d’identifier et d’annuler. Ça marche mieux pour les billets de banque.	0 0 0 0 0 0 0 0 0 0
sur le net , on suit l avalanche d attaques des muzzs decerebres et degeneres contre policiers et pompiers . a un moment ou a un autre , il y aura un ou des morts parmi eux … et comme d habitude , le gouvernement nous dira qu il faut apprendre a vivre avec ! on en arrive a souhaiter un soulevement general des cpf dans les banlieues pour obliger le pouvoir a reprimer violemment et a les calmer ou les REBLEDER !	1 1 1 1 1 1 1 1 1 1
Sauf que, si Abdeslam avait accepté, Branco aurait pu prêter serment immédiatement car il était déjà diplômé. Donc, il pouvait proposer ses services. Il n'y a pas d'incompatibilité puisque le procès n'est prévu qu'en 2020. Ce qui pose problème c'est surtout le non respect de l'article 2 du décret du 28 octobre 2014 relatif aux modes de communication des avocats. Et peut-être le fait (à prouver) qu'il se soit présenté comme avocat avant d'avoir prêté serment.	0 0 0 0 0 0 0 0 0 0
de quel droit ce ministre se permet d'imposer aux gens l'arrivée de "millions et de millions" de migrants sans leur demander leur avis?pourquoi n'ose-t-il pas faire un référendum "voulez-vous plus de migrants et conserver vos niveaux de confort ou moins de migrants et de confort"?et pourquoi la population ne devrait pas diminuer alors que c'est nécessaire pour "moins polluer"?	1 1 1 1 0 1 1 1 1 1
Les frontaliers ne sont pas des fainéants...ils ne réclament pas les 35 h., la retraite à 62 ans, la protection des travailleurs...etc. Ils se plient aux lois Suisses...sinon virés en 2 temps 3 mouvements et sans avoir besoin de motif....très pas content? Tu dégages! 	1 0 1 0 0 1 1 1 1 0
